Year,Amount,Neighborhood,LAT,LON,Crime Score,Label
2010,"1,302",Hollywood,34.0961785,-118.3490045,319.4012,L82
2010,865,San Pedro,33.7346615,-118.284188,482.7475,L83
2010,861,Sun Valley,34.2048255,-118.366247,143.64700000000005,L84
2010,"1,103",La Puente,34.0334615,-117.9610665,0.0,L85
2010,895,Boyle Heights,34.028574,-118.2027025,210.9536,L86
2010,"1,102",Azusa,34.1275255,-117.9040845,0.0,L87
2010,739,Koreatown,34.0708825,-118.294158,504.34929999999986,L88
2010,939,Baldwin Hills/Crenshaw,34.014877,-118.349074,903.7860999999997,L89
2010,"1,161",Long Beach,33.7717065,-118.1578605,0.0452,L90
2010,"1,426",Glendale,34.1814725,-118.284689,0.0,L91
2010,941,Maywood,33.9893075,-118.18188700000002,0.0,L92
2010,"1,136",Alhambra,34.090790000000005,-118.152819,0.6042,L93
2010,949,North Hills,34.242798,-118.470143,81.31849999999997,L94
2010,971,University Park,34.0260705,-118.289757,560.3935000000001,L95
2010,918,Vermont Square,34.0072765,-118.310826,534.3731,L96
2010,"1,720",Mayflower Village,34.1248395,-118.00736299999998,0.0,L97
2010,"1,304",Long Beach,33.814659000000006,-118.1216115,0.0,L98
2010,996,Van Nuys,34.2080785,-118.45744,108.58729999999998,L99
2010,"2,000",West Hills,34.2138875,-118.6216555,49.05479999999997,L100
2010,"1,138",Azusa,34.140085,-117.9115945,0.0198,L101
2010,"1,024",Montebello,34.0224325,-118.089527,0.0,L102
2010,"1,051",South San Gabriel,34.046139000000004,-118.0807005,0.0,L103
2010,"1,295",Lakewood,33.8439845,-118.09042,0.0,L104
2010,997,Huntington Park,33.967728,-118.2076625,0.0,L105
2010,"2,000",Glendale,34.1907305,-118.2577215,0.0,L106
2010,"1,294",South Pasadena,34.118849,-118.1584545,0.0,L107
2010,"1,117",Alhambra,34.084677,-118.11998,0.0,L108
2010,"2,000",Woodland Hills,34.156668,-118.626367,32.358799999999995,L109
2010,918,Huntington Park,33.98445,-118.234062,2.7046,L110
2010,932,Unincorporated Catalina Island,33.3888135,-118.42355263671499,0.0,L111
2010,945,Chesterfield Square,33.992088,-118.3107815,634.3643999999998,L112
2010,"1,019",Glendora,34.1415235,-117.8527835,0.0,L113
2010,856,East Los Angeles,34.030309499999994,-118.186239,0.0,L114
2010,"1,517",Hawthorne,33.898292,-118.339779,0.0,L115
